2026-03-06 03:47:33,224 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:56:36,859 | Pipeline Runner | INFO | Prediction feature fetched successfully
2026-03-06 03:56:36,859 | Pipeline Runner | INFO | Dividing the data between the features which needs to be predicted and the one which are present in the data
2026-03-06 03:56:36,860 | Pipeline Runner | INFO | Feature separation copmpleted
2026-03-06 03:56:36,860 | Pipeline Runner | INFO | Splitting the data for training and test
2026-03-06 03:56:36,989 | Pipeline Runner | INFO | Test Train split completed
2026-03-06 03:56:36,989 | Pipeline Runner | INFO | Proceeding to build the pipeline
2026-03-06 03:56:36,989 | Pipeline Builder | INFO | Loading configs
2026-03-06 03:56:36,992 | Pipeline Builder | INFO | Configs loaded successfully
2026-03-06 03:56:36,992 | Pipeline Builder | INFO | Calling the function time to hour from the preprocessing file
2026-03-06 03:56:36,992 | Pipeline Builder | INFO | Fucntion Transformer created
2026-03-06 03:56:36,993 | Pipeline Builder | INFO | Getting the Scaling columns
2026-03-06 03:56:36,993 | Pipeline Builder | INFO | Scaling column retrieved successfully
2026-03-06 03:56:36,993 | Pipeline Builder | INFO | Building the pipeline
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Added standard scaler
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Adding the column transformer to scale and passthrough
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Completed building the preprocessor pipeline
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Building the complete full pipeline
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Pipeline build completed
2026-03-06 03:56:36,994 | Pipeline Builder | INFO | Getting the parameters for parameters grid
2026-03-06 03:56:36,995 | Pipeline Builder | INFO | Parameters retrieved successfully
2026-03-06 03:56:36,995 | Pipeline Builder | INFO | Building the parameter grid
2026-03-06 03:56:36,995 | Pipeline Builder | INFO | Parameter grid build is successfull
2026-03-06 03:56:36,995 | Pipeline Builder | INFO | Fetching the grid serach cv parameters
2026-03-06 03:56:36,996 | Pipeline Builder | INFO | Fetched the grid serach cv parameter
2026-03-06 03:56:36,996 | Pipeline Builder | INFO | Building the grid serach CV
2026-03-06 03:56:36,997 | Pipeline Builder | INFO | Grid search CV built successfully
2026-03-06 03:56:36,997 | Pipeline Runner | INFO | Pipeline build successful
2026-03-06 03:56:36,998 | Pipeline Runner | INFO | Proceeding to train the model
2026-03-06 03:56:36,998 | Training | INFO | Loading the configs
2026-03-06 03:56:37,002 | Training | INFO | Configs loaded successfully
2026-03-06 03:56:37,002 | Training | INFO | Starting to train the model
2026-03-06 03:56:37,088 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,353 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,434 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,512 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,574 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,639 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,704 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,769 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,847 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,928 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:37,988 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,064 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,142 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,202 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,280 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,350 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,425 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,503 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,571 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,640 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,703 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,780 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,858 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,919 | Preprocessing | ERROR | Failed to convert time to hour: 'Time'
2026-03-06 03:56:38,930 | Training | ERROR | Testing of the model failed: 
All the 24 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
--------------------------------------------------------------------------------
24 fits failed with the following error:
Traceback (most recent call last):
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\model_selection\_validation.py", line 833, in _fit_and_score
    estimator.fit(X_train, y_train, **fit_params)
    ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\base.py", line 1336, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\imblearn\pipeline.py", line 514, in fit
    Xt, yt = self._fit(X, y, routed_params, raw_params=params)
             ~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\imblearn\pipeline.py", line 426, in _fit
    X, fitted_transformer = fit_transform_one_cached(
                            ~~~~~~~~~~~~~~~~~~~~~~~~^
        cloned_transformer,
        ^^^^^^^^^^^^^^^^^^^
    ...<5 lines>...
        params=step_params,
        ^^^^^^^^^^^^^^^^^^^
    )
    ^
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\joblib\memory.py", line 326, in __call__
    return self.func(*args, **kwargs)
           ~~~~~~~~~^^^^^^^^^^^^^^^^^
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\imblearn\pipeline.py", line 1379, in _fit_transform_one
    res = transformer.fit_transform(X, y, **params.get("fit_transform", {}))
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\utils\_set_output.py", line 316, in wrapped
    data_to_wrap = f(self, X, *args, **kwargs)
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\base.py", line 1336, in wrapper
    return fit_method(estimator, *args, **kwargs)
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\compose\_column_transformer.py", line 986, in fit_transform
    X = _check_X(X)
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\compose\_column_transformer.py", line 1343, in _check_X
    return check_array(X, ensure_all_finite="allow-nan", dtype=object)
  File "C:\Users\Shankar\AppData\Roaming\Python\Python314\site-packages\sklearn\utils\validation.py", line 1037, in check_array
    raise ValueError(
    ...<4 lines>...
    )
ValueError: Expected 2D array, got scalar array instead:
array=None.
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample.

2026-03-06 03:56:38,931 | Pipeline Runner | ERROR | Pipeline run has failed: best_model not found
2026-03-06 03:56:38,948 | Main Runner | INFO | Model Training Pipeline Ended
2026-03-06 03:57:16,331 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:57:16,331 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:57:16,334 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:57:16,334 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:57:16,334 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 03:57:16,334 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 03:57:16,334 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 03:57:16,335 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 03:57:16,335 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 03:57:16,335 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 03:57:16,335 | Data Extraction | INFO | Getting the SQL query
2026-03-06 03:57:16,336 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 03:57:16,336 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 03:57:16,336 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 03:57:17,893 | Data Extraction | INFO | Progress: 50000 rows extracted
2026-03-06 03:57:19,091 | Data Extraction | INFO | Progress: 100000 rows extracted
2026-03-06 03:57:20,245 | Data Extraction | INFO | Progress: 150000 rows extracted
2026-03-06 03:57:21,449 | Data Extraction | INFO | Progress: 200000 rows extracted
2026-03-06 03:57:22,620 | Data Extraction | INFO | Progress: 250000 rows extracted
2026-03-06 03:57:23,460 | Data Extraction | INFO | Progress: 284807 rows extracted
2026-03-06 03:57:23,500 | Data Extraction | INFO | Extraction successfully completed. Total rows: 284807
2026-03-06 03:57:23,500 | Pipeline Runner | INFO | Data Extraction completed successfully
2026-03-06 03:57:23,500 | Pipeline Runner | INFO | Reading the data from the path
2026-03-06 03:57:24,580 | Pipeline Runner | INFO | Data has been read
2026-03-06 03:57:24,580 | Pipeline Runner | INFO | Proceeding to clean the data
2026-03-06 03:57:24,581 | Preprocessing | INFO | Cleaning the data file
2026-03-06 03:57:24,633 | Preprocessing | INFO | Completed cleaning the file
2026-03-06 03:57:24,634 | Pipeline Runner | INFO | Data has been cleaned
2026-03-06 03:57:24,634 | Pipeline Runner | INFO | Fetching the feature that needs to be predicted
2026-03-06 03:57:24,634 | Pipeline Runner | INFO | Prediction feature fetched successfully
2026-03-06 03:57:24,634 | Pipeline Runner | INFO | Dividing the data between the features which needs to be predicted and the one which are present in the data
2026-03-06 03:57:24,635 | Pipeline Runner | INFO | Feature separation copmpleted
2026-03-06 03:57:24,636 | Pipeline Runner | INFO | Splitting the data for training and test
2026-03-06 03:57:24,768 | Pipeline Runner | INFO | Test Train split completed
2026-03-06 03:57:24,768 | Pipeline Runner | INFO | Proceeding to build the pipeline
2026-03-06 03:57:24,768 | Pipeline Builder | INFO | Loading configs
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Configs loaded successfully
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Calling the function time to hour from the preprocessing file
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Fucntion Transformer created
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Getting the Scaling columns
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Scaling column retrieved successfully
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Building the pipeline
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Added standard scaler
2026-03-06 03:57:24,771 | Pipeline Builder | INFO | Adding the column transformer to scale and passthrough
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Completed building the preprocessor pipeline
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Building the complete full pipeline
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Pipeline build completed
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Getting the parameters for parameters grid
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Parameters retrieved successfully
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Building the parameter grid
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Parameter grid build is successfull
2026-03-06 03:57:24,772 | Pipeline Builder | INFO | Fetching the grid serach cv parameters
2026-03-06 03:57:24,773 | Pipeline Builder | INFO | Fetched the grid serach cv parameter
2026-03-06 03:57:24,773 | Pipeline Builder | INFO | Building the grid serach CV
2026-03-06 03:57:24,773 | Pipeline Builder | INFO | Grid search CV built successfully
2026-03-06 03:57:24,773 | Pipeline Runner | INFO | Pipeline build successful
2026-03-06 03:57:24,773 | Pipeline Runner | INFO | Proceeding to train the model
2026-03-06 03:57:24,773 | Training | INFO | Loading the configs
2026-03-06 03:57:24,776 | Training | INFO | Configs loaded successfully
2026-03-06 03:57:24,776 | Training | INFO | Starting to train the model
2026-03-06 03:59:54,215 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 03:59:54,216 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 03:59:54,218 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 03:59:54,218 | Pipeline Runner | INFO | Getting the run type
2026-03-06 03:59:54,218 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 03:59:54,218 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 03:59:54,219 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 03:59:54,219 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 03:59:54,219 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 03:59:54,219 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 03:59:54,219 | Data Extraction | INFO | Getting the SQL query
2026-03-06 03:59:54,219 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 03:59:54,219 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 03:59:54,220 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 03:59:55,746 | Data Extraction | INFO | Progress: 50000 rows extracted
2026-03-06 03:59:56,938 | Data Extraction | INFO | Progress: 100000 rows extracted
2026-03-06 03:59:58,082 | Data Extraction | INFO | Progress: 150000 rows extracted
2026-03-06 03:59:59,308 | Data Extraction | INFO | Progress: 200000 rows extracted
2026-03-06 04:00:00,466 | Data Extraction | INFO | Progress: 250000 rows extracted
2026-03-06 04:00:01,307 | Data Extraction | INFO | Progress: 284807 rows extracted
2026-03-06 04:00:01,343 | Data Extraction | INFO | Extraction successfully completed. Total rows: 284807
2026-03-06 04:00:01,343 | Pipeline Runner | INFO | Data Extraction completed successfully
2026-03-06 04:00:01,343 | Pipeline Runner | INFO | Reading the data from the path
2026-03-06 04:00:02,463 | Pipeline Runner | INFO | Data has been read
2026-03-06 04:00:02,463 | Pipeline Runner | INFO | Proceeding to clean the data
2026-03-06 04:00:02,464 | Preprocessing | INFO | Cleaning the data file
2026-03-06 04:00:02,527 | Preprocessing | INFO | Completed cleaning the file
2026-03-06 04:00:02,528 | Pipeline Runner | INFO | Data has been cleaned
2026-03-06 04:00:02,528 | Pipeline Runner | INFO | Fetching the feature that needs to be predicted
2026-03-06 04:00:02,528 | Pipeline Runner | INFO | Prediction feature fetched successfully
2026-03-06 04:00:02,528 | Pipeline Runner | INFO | Dividing the data between the features which needs to be predicted and the one which are present in the data
2026-03-06 04:00:02,531 | Pipeline Runner | INFO | Feature separation copmpleted
2026-03-06 04:00:02,531 | Pipeline Runner | INFO | Splitting the data for training and test
2026-03-06 04:00:02,670 | Pipeline Runner | INFO | Test Train split completed
2026-03-06 04:00:02,671 | Pipeline Runner | INFO | Proceeding to build the pipeline
2026-03-06 04:00:02,671 | Pipeline Builder | INFO | Loading configs
2026-03-06 04:00:02,674 | Pipeline Builder | INFO | Configs loaded successfully
2026-03-06 04:00:02,674 | Pipeline Builder | INFO | Calling the function time to hour from the preprocessing file
2026-03-06 04:00:02,674 | Pipeline Builder | INFO | Fucntion Transformer created
2026-03-06 04:00:02,674 | Pipeline Builder | INFO | Getting the Scaling columns
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Scaling column retrieved successfully
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Building the pipeline
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Added standard scaler
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Adding the column transformer to scale and passthrough
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Completed building the preprocessor pipeline
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Building the complete full pipeline
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Pipeline build completed
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Getting the parameters for parameters grid
2026-03-06 04:00:02,675 | Pipeline Builder | INFO | Parameters retrieved successfully
2026-03-06 04:00:02,676 | Pipeline Builder | INFO | Building the parameter grid
2026-03-06 04:00:02,676 | Pipeline Builder | INFO | Parameter grid build is successfull
2026-03-06 04:00:02,676 | Pipeline Builder | INFO | Fetching the grid serach cv parameters
2026-03-06 04:00:02,676 | Pipeline Builder | INFO | Fetched the grid serach cv parameter
2026-03-06 04:00:02,676 | Pipeline Builder | INFO | Building the grid serach CV
2026-03-06 04:00:02,677 | Pipeline Builder | INFO | Grid search CV built successfully
2026-03-06 04:00:02,677 | Pipeline Runner | INFO | Pipeline build successful
2026-03-06 04:00:02,677 | Pipeline Runner | INFO | Proceeding to train the model
2026-03-06 04:00:02,677 | Training | INFO | Loading the configs
2026-03-06 04:00:02,680 | Training | INFO | Configs loaded successfully
2026-03-06 04:00:02,681 | Training | INFO | Starting to train the model
2026-03-06 04:02:57,161 | Main Runner | INFO | Starting the Model training Pipeline
2026-03-06 04:02:57,161 | Pipeline Runner | INFO | Loading the configurations
2026-03-06 04:02:57,163 | Pipeline Runner | INFO | Configurations loadded successfully
2026-03-06 04:02:57,164 | Pipeline Runner | INFO | Getting the run type
2026-03-06 04:02:57,164 | Pipeline Runner | INFO | Run type is DBRUN
2026-03-06 04:02:57,164 | Pipeline Runner | INFO | Fetching the database run configuration
2026-03-06 04:02:57,164 | Pipeline Runner | INFO | Fetched all the database configurations
2026-03-06 04:02:57,164 | Pipeline Runner | INFO | Extracting the data from the database
2026-03-06 04:02:57,164 | Data Extraction | INFO | Checking for the data path directory
2026-03-06 04:02:57,165 | Data Extraction | INFO | Checking for the data path directory exists
2026-03-06 04:02:57,166 | Data Extraction | INFO | Getting the SQL query
2026-03-06 04:02:57,166 | Data Extraction | INFO | SQL query retrieved successfully
2026-03-06 04:02:57,166 | Data Extraction | INFO | Creating the data base connection string
2026-03-06 04:02:57,166 | Data Extraction | INFO | Data base connection string formed successfully
2026-03-06 04:02:59,329 | Data Extraction | INFO | Progress: 50000 rows extracted
2026-03-06 04:03:00,585 | Data Extraction | INFO | Progress: 100000 rows extracted
2026-03-06 04:03:01,792 | Data Extraction | INFO | Progress: 150000 rows extracted
2026-03-06 04:03:03,015 | Data Extraction | INFO | Progress: 200000 rows extracted
2026-03-06 04:03:04,207 | Data Extraction | INFO | Progress: 250000 rows extracted
2026-03-06 04:03:05,061 | Data Extraction | INFO | Progress: 284807 rows extracted
2026-03-06 04:03:05,098 | Data Extraction | INFO | Extraction successfully completed. Total rows: 284807
2026-03-06 04:03:05,099 | Pipeline Runner | INFO | Data Extraction completed successfully
2026-03-06 04:03:05,099 | Pipeline Runner | INFO | Reading the data from the path
2026-03-06 04:03:06,173 | Pipeline Runner | INFO | Data has been read
2026-03-06 04:03:06,174 | Pipeline Runner | INFO | Proceeding to clean the data
2026-03-06 04:03:06,174 | Preprocessing | INFO | Cleaning the data file
2026-03-06 04:03:06,240 | Preprocessing | INFO | Completed cleaning the file
2026-03-06 04:03:06,240 | Pipeline Runner | INFO | Data has been cleaned
2026-03-06 04:03:06,240 | Pipeline Runner | INFO | Fetching the feature that needs to be predicted
2026-03-06 04:03:06,240 | Pipeline Runner | INFO | Prediction feature fetched successfully
2026-03-06 04:03:06,240 | Pipeline Runner | INFO | Dividing the data between the features which needs to be predicted and the one which are present in the data
2026-03-06 04:03:06,242 | Pipeline Runner | INFO | Feature separation copmpleted
2026-03-06 04:03:06,243 | Pipeline Runner | INFO | Splitting the data for training and test
2026-03-06 04:03:06,380 | Pipeline Runner | INFO | Test Train split completed
2026-03-06 04:03:06,380 | Pipeline Runner | INFO | Proceeding to build the pipeline
2026-03-06 04:03:06,381 | Pipeline Builder | INFO | Loading configs
2026-03-06 04:03:06,384 | Pipeline Builder | INFO | Configs loaded successfully
2026-03-06 04:03:06,384 | Pipeline Builder | INFO | Calling the function time to hour from the preprocessing file
2026-03-06 04:03:06,384 | Pipeline Builder | INFO | Fucntion Transformer created
2026-03-06 04:03:06,384 | Pipeline Builder | INFO | Getting the Scaling columns
2026-03-06 04:03:06,384 | Pipeline Builder | INFO | Scaling column retrieved successfully
2026-03-06 04:03:06,385 | Pipeline Builder | INFO | Building the pipeline
2026-03-06 04:03:06,385 | Pipeline Builder | INFO | Added standard scaler
2026-03-06 04:03:06,385 | Pipeline Builder | INFO | Adding the column transformer to scale and passthrough
2026-03-06 04:03:06,385 | Pipeline Builder | INFO | Completed building the preprocessor pipeline
2026-03-06 04:03:06,385 | Pipeline Builder | INFO | Building the complete full pipeline
2026-03-06 04:03:06,386 | Pipeline Builder | INFO | Pipeline build completed
2026-03-06 04:03:06,386 | Pipeline Builder | INFO | Getting the parameters for parameters grid
2026-03-06 04:03:06,386 | Pipeline Builder | INFO | Parameters retrieved successfully
2026-03-06 04:03:06,386 | Pipeline Builder | INFO | Building the parameter grid
2026-03-06 04:03:06,386 | Pipeline Builder | INFO | Parameter grid build is successfull
